text,label
in xyz v the commonwealth hca aljr the high court considered the validity of provisions of the crimes act which made it an offence for a person defined as an australian citizen or a resident of australia while outside australia to engage in sexual intercourse with a person under years of age or to commit an act of indecency on a person under years of age by a majority of five to two the court held that the legislation was valid under the external affairs power,CRIMINAL
claims must be determined in a practical and common sense manner nesbit v impro at minnesota mining at in cleveland graphite bronze co v glacier metal co ltd rpc at it was said that the claims must be as precise as the subject admits of,PROPERTY
however statutory rights to damages or an account of profits conferred on owners or exclusive licensees of intellectual property only have effect for the period that a plaintiff in fact has the relevant status thus in colbeam palmer ltd v stock affiliates pty ltd hca clr windeyer j held that an account of profits should be taken to terminate as at the date the plaintiff assigned the trade mark in question and that the assignee having been joined as a plaintiff should be entitled to an account of profits from the date of assignment,PROPERTY
claims must be determined in a practical and common sense manner nesbit v impro at minnesota mining at in cleveland graphite bronze co v glacier metal co ltd rpc at it was said that the claims must be as precise as the subject admits of,PROPERTY
the principles are stated by gummow j in wanem pty ltd v john tekiela fca ipr at cited with approval by the full court in foggin v lacey ipr at gummow j said first impressions are important in determining whether there is an infringement of a design an obvious imitation is one which is not the same as the registered design but is a copy apparent to the eye notwithstanding slight differences the question must be looked at as one of substance and by examining the essential features of the design a closer correspondence between the registered design and the alleged infringing design is necessary to satisfy the test of obvious imitation than that of fraudulent imitation precise mathematical comparisons or matters of measurements or ratios which form no part of the mental picture which the eye conveys to the brain of shape or configuration suggested by the design are not to be applied as the test of infringement appearance to the eye is the critical issue and questions of infringement must not be determined by a narrow or overly technical approach in comparison between the design and the alleged infringement lest the registration be sapped of its worth to the registered owner,CYBER
in any case the specification does not put forward the major vector element as something contribut to the achievement of the invention the invention is not for a method of holding a power saw it is for a power saw capable of fulfilling different functions,PROPERTY
in any case the specification does not put forward the major vector element as something contribut to the achievement of the invention the invention is not for a method of holding a power saw it is for a power saw capable of fulfilling different functions,PROPERTY
in polyaire pty ltd v kaire pty ltd hca clr the high court considered the concept of fraudulent imitation under the act their honours held that in order to find a fraudulent imitation it was not necessary to show that the differences between alleged infringement and design had been made to disguise the copying,CYBER
however statutory rights to damages or an account of profits conferred on owners or exclusive licensees of intellectual property only have effect for the period that a plaintiff in fact has the relevant status thus in colbeam palmer ltd v stock affiliates pty ltd hca clr windeyer j held that an account of profits should be taken to terminate as at the date the plaintiff assigned the trade mark in question and that the assignee having been joined as a plaintiff should be entitled to an account of profits from the date of assignment,PROPERTY
the principles are stated by gummow j in wanem pty ltd v john tekiela fca ipr at cited with approval by the full court in foggin v lacey ipr at gummow j said first impressions are important in determining whether there is an infringement of a design an obvious imitation is one which is not the same as the registered design but is a copy apparent to the eye notwithstanding slight differences the question must be looked at as one of substance and by examining the essential features of the design a closer correspondence between the registered design and the alleged infringing design is necessary to satisfy the test of obvious imitation than that of fraudulent imitation precise mathematical comparisons or matters of measurements or ratios which form no part of the mental picture which the eye conveys to the brain of shape or configuration suggested by the design are not to be applied as the test of infringement appearance to the eye is the critical issue and questions of infringement must not be determined by a narrow or overly technical approach in comparison between the design and the alleged infringement lest the registration be sapped of its worth to the registered owner,CYBER
the current position is that the full court on thursday june ordered that the first and third applicant provide security for the costs of the first and second respondent of the proceeding up to the end of the first day of the trial in the amount of by way of unconditional bank guarantee in that sum or otherwise to the satisfaction of the district registrar of the queensland district registry of the court sunstate orchards pty ltd v citrus queensland pty ltd fcafc i understand that security for costs was provided on thursday june,PROPERTY
an alternative ground for the conclusion that i should not disqualify myself from hearing the present application on the ground of apparent bias is this the test for apparent bias is wellknown and it is whether a fairminded lay observer might reasonably apprehend that the judge might not bring an impartial and unprejudiced mind to the resolution of the question the judge is required to decide johnson v johnson clr at per gleeson cj gaudron mchugh gummow and hayne jj,PROPERTY
in cox v journeaux hca clr dixon j considered the meaning of personal injury or wrong done to the bankrupt within s of the bankruptcy act his honour applied wilson v united counties bank ltd ac and described the relevant test in the following terms the test appears to be whether the damages or part of them are to be estimated by immediate reference to pain felt by the bankrupt in respect of his mind body or character and without reference to his rights of property,PROPERTY
an alternative ground for the conclusion that i should not disqualify myself from hearing the present application on the ground of apparent bias is this the test for apparent bias is wellknown and it is whether a fairminded lay observer might reasonably apprehend that the judge might not bring an impartial and unprejudiced mind to the resolution of the question the judge is required to decide johnson v johnson clr at per gleeson cj gaudron mchugh gummow and hayne jj,PROPERTY
an alternative ground for the conclusion that i should not disqualify myself from hearing the present application on the ground of apparent bias is this the test for apparent bias is wellknown and it is whether a fairminded lay observer might reasonably apprehend that the judge might not bring an impartial and unprejudiced mind to the resolution of the question the judge is required to decide johnson v johnson clr at per gleeson cj gaudron mchugh gummow and hayne jj,PROPERTY
save and except for the alleged breaches of the deed of settlement all the causes of action in the present proceeding are different from those advanced in the earlier proceeding nevertheless all the causes of action are based on the conduct of the second respondent acting for the first respondent on march and its aftermath,PROPERTY
an alternative ground for the conclusion that i should not disqualify myself from hearing the present application on the ground of apparent bias is this the test for apparent bias is wellknown and it is whether a fairminded lay observer might reasonably apprehend that the judge might not bring an impartial and unprejudiced mind to the resolution of the question the judge is required to decide johnson v johnson clr at per gleeson cj gaudron mchugh gummow and hayne jj,PROPERTY
in cox v journeaux hca clr dixon j considered the meaning of personal injury or wrong done to the bankrupt within s of the bankruptcy act his honour applied wilson v united counties bank ltd ac and described the relevant test in the following terms the test appears to be whether the damages or part of them are to be estimated by immediate reference to pain felt by the bankrupt in respect of his mind body or character and without reference to his rights of property,PROPERTY
the minister submitted that the federal magistrates conclusion that a social group cannot be constituted by victims or potential victims of crime is consistent with authority that a social group cannot be defined merely by a shared fear of persecution in support of that proposition the minister referred to a pplicant s v minister for immigration and multicultural affairs hca clr at where gleeson cj gummow and kirby jj observed as follows the determination of whether a group falls within the definition of particular social group in art a of the convention can be summarised as follows,CRIMINAL
this is an appeal from a decision of the federal magistrates court which dismissed an application for review of a decision of the refugee review tribunal affirming a decision of a delegate of the minister to refuse the appellant a protection visa the nature of the appellants protection visa application the reasons of the tribunal and the federal magistrate are set out in more detail in the federal magistrates decision szjxc v the minister for immigration and citizenship fmca which is available on the internet,CYBER
because as will be seen the application of this test in this matter does require an examination amongst other things of the tribunals reasons it is important to emphasise that the lay observer would be scrutinising those reasons through a quite different prism and by reference to a quite different contingency than a judge would be when scrutinising a decisionmakers reasons for decision for the purpose of discerning an error justifying judicial review cf minister for immigration and ethnic affairs v wu shan liang hca clr at to say this is not to accord the hypothetical observer licence to indulge in implausible or improbable interpretations of reasons for decision,PROPERTY
submission of santos delhi petroleum and the state that the application has no reasonable prospects of success is in summary the applicants do not seek a determination of native title in the present proceeding the definition of future act in s of the nta is that it is an act which apart from the nta either validly affects native title in relation to the land or would if valid affect native title in light of full courts judgment in the lardil peoples v queensland fca fcr to secure final relief of the kind sought by the applicants it is not sufficient to establish only that an act might affect native title if native title were found to exist a corollary of this is that mere status as a registered native title claimant can never supply the requisite element in the definition of future act which is also an element in any entitlement to the relief sought the applicants in summary make the following submission in response lardil is distinguishable because it related to procedural rights conferred by s ha and s na of the nta and not the right to negotiate under subdiv p of div of pt of that act in any event the declaration that the grant of a petroleum lease would not constitute a preexisting rights based act does not require the applicants to establish that they have native title because if there is no valid atp it necessarily follows that there could be no valid grant of a petroleum lease,PROPERTY
private detectives case is but a particular example of the application of the principles expounded in the joint judgment in bass v permanent trustee co ltd hca clr as to the means of differentiating between a permissible invocation of judicial power and the impermissible posing of an academic or hypothetical question that exposition is of particular importance because of the way in which matter has come to be understood for the purposes of federal jurisdiction,PROPERTY
unlike in truth about motorways pty ltd v macquarie infrastructure investment management ltd clr the applicants do not have the benefit of any provision affording them any particular standing to seek any of the relief claimed in the application while the position would be different if they had the benefit of a native title determination in their favour or even if the relief were sought in the context of an application for a determination of native title the applicants are strangers to any dealings between the state and santos and delhi petroleum with respect to the granting of a particular petroleum lease,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
on november the high court delivered judgment in new south wales v commonwealth clr hca concerning the validity of the workplace relations amendment act as enacted in december the work choices act changed the constitutional basis for the wra,EMPLOYMENT
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
those submissions also referred to decisions in the federal court and other superior courts those cases were concerned with entities such as charities e v australian red cross society fca fcr statutory corporations set up under state legislation which conduct various business activities united firefighters union of australia v metropolitan fire and emergency services board fcr corporations that conduct universities quickenden v oconnor fca fcr and schools educang limited v queensland industrial relations commission ir yachting organisations forbes amp anor v australian yachting federation inc flr legal aid bodies aboriginal legal service of western australia inc v lawrence wairc and animal welfare organisations orion pet products pty ltd v royal society for the prevention of cruelty to animals fca fcr,PROPERTY
austin j in gujarat nre australia v williams nswsc said effectively the standard to be reached to persuade a court that there is an offsetting claim is the same as the standard to be reached to persuade a court that there is a genuine dispute between the alleged debtor and the party claiming to be creditor the most effective cited description of the standard for establishing a genuine dispute is a passage in the judgment of mclelland cj in eq in eyota pty ltd v hanave pty ltd acsr at,PROPERTY
palmer j in macleay nominees pty ltd v belle property east pty ltd nswsc at said in my opinion a genuine offsetting claim for the purposes of ca s h and means a claim on a cause of action advanced in good faith for an amount claimed in good faith good faith means arguable on the basis of facts asserted with sufficient particularity to enable the court to determine that the claim is not fanciful,PROPERTY
to like effect are the observations of thomas j in the supreme court of queensland in re morris catering pty ltd acsr where his honour said at there is little doubt that division is intended to be a complete code which prescribes a formula that requires the court to assess the position between the parties and preserve demands where it can be seen that there is no genuine dispute and no sufficient genuine offsetting claim that is not to say that the court will examine the merits or settle the dispute,PROPERTY
applying those principles in my opinion the work trial agreement in the form sent by mr mihelcic to mr sutczak on december including cl set out in above formed part of the contract which was in force at the time mr fowle suffered his injury the commonwealth and comcare by their subsequent conduct and in particular by meeting all mr fowles wages notwithstanding that he was doing work for the hydro impliedly accepted the terms in the work trial agreement,EMPLOYMENT
counsel for the defendants submitted that the term in question being an indemnity should be construed strictly against the hydro however this principle of construction is bound up with another rule that documents should be construed contra proferentem coghlan v s h lock ltd nswlr at andar transport pty ltd v brambles ltd hca clr at halford v price hca clr at,PROPERTY
counsel for the defendants submitted that the term in question being an indemnity should be construed strictly against the hydro however this principle of construction is bound up with another rule that documents should be construed contra proferentem coghlan v s h lock ltd nswlr at andar transport pty ltd v brambles ltd hca clr at halford v price hca clr at,PROPERTY
counsel for the defendants submitted that the term in question being an indemnity should be construed strictly against the hydro however this principle of construction is bound up with another rule that documents should be construed contra proferentem coghlan v s h lock ltd nswlr at andar transport pty ltd v brambles ltd hca clr at halford v price hca clr at,PROPERTY
the course of authority to which lindgren j referred consisted of concrete constructions pty ltd v nelson hca clr village building co ltd v canberra international airport fca fcr at affirmed on appeal at fcafc fcr at and rgc mineral sands ltd v wimmera industrial minerals pty ltd fca the applicant sought to distinguish the present case from glueck on the ground that the facts of the two cases were different,PROPERTY
in assa abloy australia pty ltd v australian lock co pty ltd fcafc ipr at the full court referred to the observations of mclelland j in a trade mark context in ritz hotel ltd v charles of the ritz ltd nswlr at and said adapting that language to the design context the expression would embrace any person having a real interest in having the entry expunged and thus would include any person who would be or in respect of whom there is a reasonable possibility of his or her being appreciably disadvantaged in a legal or practical sense by the entry not being expunged i return to the assa abloy test recorded at,PROPERTY
in assa abloy australia pty ltd v australian lock co pty ltd fcafc ipr at the full court referred to the observations of mclelland j in a trade mark context in ritz hotel ltd v charles of the ritz ltd nswlr at and said adapting that language to the design context the expression would embrace any person having a real interest in having the entry expunged and thus would include any person who would be or in respect of whom there is a reasonable possibility of his or her being appreciably disadvantaged in a legal or practical sense by the entry not being expunged,PROPERTY
power in o r may be exercised where the originating process has been served outside the jurisdiction and the court is satisfied that there is no prima facie case amust computer corporation pty ltd v australia entre business centres pty ltd atpr trade practices commission v the gillette company fca fcr southern cross airlines holdings ltd v arthur andersen amp co that follows from the fact that in certain cases a prima facie case must be shown before service outside the jurisdiction is effective o r,CYBER
power in o r may be exercised where the originating process has been served outside the jurisdiction and the court is satisfied that there is no prima facie case amust computer corporation pty ltd v australia entre business centres pty ltd atpr trade practices commission v the gillette company fca fcr southern cross airlines holdings ltd v arthur andersen amp co that follows from the fact that in certain cases a prima facie case must be shown before service outside the jurisdiction is effective o r,CYBER
power in o r may be exercised where the originating process has been served outside the jurisdiction and the court is satisfied that there is no prima facie case amust computer corporation pty ltd v australia entre business centres pty ltd atpr trade practices commission v the gillette company fca fcr southern cross airlines holdings ltd v arthur andersen amp co that follows from the fact that in certain cases a prima facie case must be shown before service outside the jurisdiction is effective o r,CYBER
the authorities cited by the applicants are st lucia usines and estates company limited v colonial treasurer of st lucia ac at commissioner of taxes v the executor trustee and agency company of south australia limited hca clr at permanent trustee co v federal commissioner of taxation atd at south australia v commonwealth hca clr at and bowaters sales co ltd v commissioners of inland revenue tc at as well the applicants refer to the commissioners public ruling tr at in which the commissioner has said that as a general rule the receipts method is appropriate to determine income derived from investments although there are exceptions such as in the case of interest from a business of money lending carried on by the taxpayer,PROPERTY
prior to the introduction of those provisions there was a well established distinction between final and interim dividends a declaration of a final dividend by the shareholders gave rise to an immediate debt owed by the company to the shareholders whereas a resolution by the directors to pay an interim dividend did not do so potel v inland revenue commissioners all er at industrial equity limited v blackburn hca clr at marra developments ltd v bw rofe pty ltd nswlr at brookton cooperative society limited v commissioner of taxation hca clr at,PROPERTY
the authorities cited by the applicants are st lucia usines and estates company limited v colonial treasurer of st lucia ac at commissioner of taxes v the executor trustee and agency company of south australia limited hca clr at permanent trustee co v federal commissioner of taxation atd at south australia v commonwealth hca clr at and bowaters sales co ltd v commissioners of inland revenue tc at as well the applicants refer to the commissioners public ruling tr at in which the commissioner has said that as a general rule the receipts method is appropriate to determine income derived from investments although there are exceptions such as in the case of interest from a business of money lending carried on by the taxpayer,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
the following propositions are to be found in the judgment of dixon j the question which of rival methods of accounting should be employed in identifying taxable income falls for the courts to determine according to legal principles but it is a mistake to search only the legislative text for an answer because such notions as income profits and gains are conceptions of the world of affairs and particularly of business covering an infinite variety of activities for which no single formula can be devised in nearly every department of enterprise and employment the course of affairs and the practice of business have developed methods of estimating or computing in terms of money the result over an interval of time produced by the operations of business by the work of the individual or by the use of capital,EMPLOYMENT
prior to the introduction of those provisions there was a well established distinction between final and interim dividends a declaration of a final dividend by the shareholders gave rise to an immediate debt owed by the company to the shareholders whereas a resolution by the directors to pay an interim dividend did not do so potel v inland revenue commissioners all er at industrial equity limited v blackburn hca clr at marra developments ltd v bw rofe pty ltd nswlr at brookton cooperative society limited v commissioner of taxation hca clr at,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
prior to the introduction of those provisions there was a well established distinction between final and interim dividends a declaration of a final dividend by the shareholders gave rise to an immediate debt owed by the company to the shareholders whereas a resolution by the directors to pay an interim dividend did not do so potel v inland revenue commissioners all er at industrial equity limited v blackburn hca clr at marra developments ltd v bw rofe pty ltd nswlr at brookton cooperative society limited v commissioner of taxation hca clr at,PROPERTY
the authorities cited by the applicants are st lucia usines and estates company limited v colonial treasurer of st lucia ac at commissioner of taxes v the executor trustee and agency company of south australia limited hca clr at permanent trustee co v federal commissioner of taxation atd at south australia v commonwealth hca clr at and bowaters sales co ltd v commissioners of inland revenue tc at as well the applicants refer to the commissioners public ruling tr at in which the commissioner has said that as a general rule the receipts method is appropriate to determine income derived from investments although there are exceptions such as in the case of interest from a business of money lending carried on by the taxpayer,PROPERTY
prior to the introduction of those provisions there was a well established distinction between final and interim dividends a declaration of a final dividend by the shareholders gave rise to an immediate debt owed by the company to the shareholders whereas a resolution by the directors to pay an interim dividend did not do so potel v inland revenue commissioners all er at industrial equity limited v blackburn hca clr at marra developments ltd v bw rofe pty ltd nswlr at brookton cooperative society limited v commissioner of taxation hca clr at,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
the authorities cited by the applicants are st lucia usines and estates company limited v colonial treasurer of st lucia ac at commissioner of taxes v the executor trustee and agency company of south australia limited hca clr at permanent trustee co v federal commissioner of taxation atd at south australia v commonwealth hca clr at and bowaters sales co ltd v commissioners of inland revenue tc at as well the applicants refer to the commissioners public ruling tr at in which the commissioner has said that as a general rule the receipts method is appropriate to determine income derived from investments although there are exceptions such as in the case of interest from a business of money lending carried on by the taxpayer,PROPERTY
the authorities cited by the applicants are st lucia usines and estates company limited v colonial treasurer of st lucia ac at commissioner of taxes v the executor trustee and agency company of south australia limited hca clr at permanent trustee co v federal commissioner of taxation atd at south australia v commonwealth hca clr at and bowaters sales co ltd v commissioners of inland revenue tc at as well the applicants refer to the commissioners public ruling tr at in which the commissioner has said that as a general rule the receipts method is appropriate to determine income derived from investments although there are exceptions such as in the case of interest from a business of money lending carried on by the taxpayer,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
the following summary account of general principles is in accord with his lordships affidavit the english legislation that made a debt or other legal thing in action assignable in law was s of the supreme court of judicature act and the provision is now found in s of the law of property act,PROPERTY
it is true as the high court said in fox v percy hca clr at that a factual finding should so far as possible turn on the basis of contemporary materials objectively established facts and the apparent logic of events nevertheless i do not see that a sufficient basis has been established to allow the issue of failure to complain to be explored in the manner proposed nor do i consider that the observations of the high court in mwj v the queen hca alr at on the application of the rule in browne v dunn assist in the resolution of this motion,PROPERTY
it is true as the high court said in fox v percy hca clr at that a factual finding should so far as possible turn on the basis of contemporary materials objectively established facts and the apparent logic of events nevertheless i do not see that a sufficient basis has been established to allow the issue of failure to complain to be explored in the manner proposed nor do i consider that the observations of the high court in mwj v the queen hca alr at on the application of the rule in browne v dunn assist in the resolution of this motion,PROPERTY
in ascot investments pty ltd v harper hca clr gibbs cj said the general words of ss and must be understood in the context of the act which confers jurisdiction on the family court in matrimonial causes and associated matters and in that context it would be unreasonable to impute to the parliament an intention to give power to the family court to extinguish the rights and enlarge the obligations of third parties in the absence of clear and unambiguous words,FAMILY
in the queen v rossjones ex parte green hca clr wilson and dawson jj said we should add that even if those proceedings were a matrimonial cause the family court would nevertheless lack the power to grant the relief sought apart from any constitutional limitation it is now authoritatively established that as a matter of construction the general powers of the family court are to be understood in the context of the family law act which confers jurisdiction upon the court in matrimonial causes and associated matters,FAMILY
thirdly s a of the bankruptcy act has been in the act since and the above principles did not mean that this court would never exercise its discretion to transfer proceedings under the bankruptcy act to the family court the circumstances of the case might suggest that that course was appropriate even though once transferred the family court was bound to give full force and effect to the provisions of the bankruptcy act re sabri ex parte sabri v brien fcr,FAMILY
thirdly s a of the bankruptcy act has been in the act since and the above principles did not mean that this court would never exercise its discretion to transfer proceedings under the bankruptcy act to the family court the circumstances of the case might suggest that that course was appropriate even though once transferred the family court was bound to give full force and effect to the provisions of the bankruptcy act re sabri ex parte sabri v brien fcr,FAMILY
on may mrs edge issued proceedings in the family court of australia against the trustee and the bankrupt seeking certain orders under the family law act during the course of the submissions on the application counsel for mrs edge indicated that the orders sought in the proceedings in the family court may need to be amended,FAMILY
on the other hand there is also authority for the proposition that filing and service without more operates as a full or limited waiver eg complete technology pty ltd v toshiba pty ltd fcr austress v marlin nswsc chief executive officer of customs v neate flr black amp decker inc v flymo ltd wlr in the marriage of crowe flc and leaders shoes pty ltd v national insurance co of new zealand ltd nswr as one would expect cadbury relies on these cases,FAMILY
